Species,years,place,lat,lon,Description,imag,TRUE,Prediction
Cylindropuntia thurberi subsp. alamosensis,2001,"MÉXICO, SINALOA, SINALOA, Edo. de Sinaloa, Mpio. de Mocorito, cerro de Caimanero.",24.986667,-107.7875,,http://storage.idigbio.org/portals/seinet/mexnorte/UNISON_USON/00009/09851_1575924499.jpg,0,0
Opuntia pumila,2008,"Mexico, sonora, Mpio. de Bacadehuaci. Rancho El Carricito, 11.9 km (by road).",29.770278,-109.084722,"Occasional fragile 'choya' under shrubs; tepals light yellow, outer lower tepals green in middle, filaments light green, stamens pale yellow, stigma and style white.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/201111/ASU0059666-1.jpg,0,0
Mammillaria glassii,1992,"Mexico, Nuevo Leon, Aramberri: Cerro El Hijo, Ascencion",24.283333,-99.983333,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES/DES00068/DES00068663.jpg,1,0
Dendrocereus undulosus,2016,"Dominican Republic, Pedernales, Oviedo, Oviedo, Paraje Tees Scharcos, Parque Nacíonal Jaragua, área de sisal (Agave sisalana)",17.8672,-71.51762,"árboles hasta 10 m de alto, 16 individuos grandes vistos aquí, troncos con grande diámetro muchas veces formando grupos de largas espinas de las areolas, tallos con tres costillas; flores viejas secas, ningún fruto presente (fruto amarillo como vista en fotos de T. Clase de las mismas plantas); conocido como Sansón.",,0,0
Parodia horstii,1989,"United States, Pennsylvania, Allegheny, Pittsburgh, Phipps Conservatory, Desert Room",40.439124,-79.947622,,/imglib/seinet/mam/CM/CM363/CM363221_1583433210_web.jpg,0,0
Echinocereus rigidissimus var. rigidissimus,2008,"Mexico, Sonora, Rancho Puerta Blanca, ca. 41 km east of Agua Prieta, Cuenca Los Ojos Conservation Area.",31.33056,-109.12306,"flowers magenta with white center, stamens orange, stigma olive green.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/201111/ASU0059634-1.jpg,1,0
Harrisia fernowii,2018,"Cuba, Granma, Niquero, Cabo Cruz, ca. 25 km de Niquero.",19.85,-77.733333,"Abundante aquí, ca 2.5-3 m de alto formando un tronco principal y ramicando arriba, tronco bien aramado de areólas espinosas, ramas con 9-10 costillas, frutos amarillos (50-74 x 49-65 mm), pulpa blanca, grosor del pericarpelo 1.2-2 mm.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00085/DES00085935.jpg,0,0
Ariocarpus fissuratus subsp. lloydii,1993,"Mexico, Durango, South of Nazas, on the Meseta del Baluarte, 4 miles north of Cerro Peñón Blanco, about 0.5 mile from a windmill, stone tank, and corr",25.01667,-104.0167,"Localized, inconspicuous. Stem surface appearing pale grayish olive (somehow different from typical var. fissuratus, which might appear more blackish leaf-green under the dusty cuticle). No reproductive structures except some seeds buried in the apical wool. Specimen consists of one healthy plant sacrificed at time of collection, plus a cuticular skeleton (illustrating variation in tubercle size/surface and areole shape). Approaching var. fissuratus.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0052/ASU0052548.jpg,0,0
Cylindropuntia X deserta,2017,"United States, Nevada, Clark, T28S R61 E NE corner section 13; 1420m",35.51,-115.1069,TOPOTYPE of O. deserti,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0298/ASU0298900.jpg,0,0
Blossfeldia liliputana,1958,"Chile, Valparaiso, Granizo, Olmue. Soyotmayor.",-32.983333,-71.166667,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0052/ASU0052569.jpg,0,0
Opuntia huajuapensis,2008,"Mexico, Puebla, Zapotitlan de las Salinas",18.41252,-97.42627,,http://db.herbarium.arizona.edu/images/ARIZ/ARIZ/00426/ARIZ426237_lg.jpg,0,0
Echinocereus viridiflorus var. chloranthus,1985,"USA, Texas, Brewster County, 10.9 miles SE of Route 90 (Marathon), along Route 385, W side of highway.",30.059658,-103.277069,Frequent on ridge.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00028/DES00028635.JPG,1,0
Cylindropuntia x fosbergii,2006,"USA, California, San Diego, Anza-Borrego Desert State Park, on N side of County Road S-2, just across from Canebrake Residential Area.",32.9167,-116.2417,"Cactus tree 6.5 inches tall. Fruit green to pinkish red. Fruit: some pink on spines. Flower: creamy brown. Branches long and twisting, aging brown.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00064/DES00064651.jpg,0,0
Copiapoa cinerea subsp. cinerea,1947,"Chile, Antofagasta, Grown in cultivation at Desert Botanical Garden, Phoenix, N 33 deg 27' 33'', W 111 deg 56' 35'', 1200 ft., 366 m: accession number",-27.031363,-69.9825,"Outer perianth yellow with darker midstripe, inner perianth yellow; other flowers collected 19 May 1993; no other collection data.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00060/DES00060427.jpg,1,0
Harrisia tortuosa,2011,"United States, Florida, Sarasota Co., Lake Sarasota, Chaucer Lane, 2.2 km E of I-75.",27.2969,-82.4256,,https://cdn.plantatlas.org/img/specimens/USF/260423.jpg,0,0
Eriosyce curvispina,1982,"Chile, [Cerro Campana A. Hoffman]",-32.916667,-71.116667,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00040/DES00040352.jpg,1,0
Corynopuntia vilis,1998,"Mexico, Zacatecas, Hillside of pale brown volcanic tuff just SW of Cedros.",24.68333,-101.775,"Mat-forming perennial to 1 dm tall, 1 m broad, mostly in shade but often in full sun; young spines dark gray-brown to red-brown.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0054/ASU0054222.jpg,0,0
Eriosyce occulta,1982,"Chile, Quebrada Cachina",-25.416667,-70.45,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00040/DES00040385.jpg,1,0
Cephalocereus apicicephalium,1953,"Mexico, 15 mi. W Tehuatipec",16.410278,-95.408056,Plant 3'4'. It was stated that all plants growing at this location were all apparently stunted.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00001/DES00001622.jpg,0,0
Astrophytum myriostigma var. myriostigma,1989,"United States, Pennsylvania, Allegheny, Pittsburgh, Phipps Conservatory, Desert Room",40.439124,-79.947622,,/imglib/seinet/mam/CM/CM348/CM348810_1583433265_web.jpg,0,0
Opuntia deamii,1946,"Guatemala, Baja Verapaz, Salamá.",15.10336,-90.314079,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0058/ASU0058195.jpg,0,0
Mammillaria coahuilensis,1985,"Mexico, Cadereyta de Montes",20.697792,-99.815348,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES/DES00002/DES00002005.jpg,1,0
Coryphantha glanduligera,1993,"Mexico, San Luis Potosi, About 1 mile northwest of Huizache Junction, 0.6 mile west of Hwy 57, on the road to San Juan Sin Agua.",22.926942,-100.458722,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0052/ASU0052677.jpg,0,0
Eriosyce heinrichiana subsp. intermedia,1979,"Chile, No location in Chile given",-29.983333,-70.55,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00037/DES00037147.jpg,0,0
Opuntia engelmannii var. flavispina,1993,"USA, Arizona, Yavapai County, N37 77 500 E2 93 600; Date Creek 7.5' USGS topographic map; just northeast of the Harcuvar Mountains; lower bajada",34.1217,-113.233,"1m tall, 1.5m broad, stems yellow-green, spines widely spreading, very pale yellow-brown, ca. darker toward base; note one flower with double style and two locules, anthers cream -yellow, stigma green, inner tepals yellow, tinged orange toward base. sheet 1 of 2.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/Cactaceae/herbarium_sheets/OPEN_206002_M.jpg,1,0
Mammillaria winterae subsp. winterae,1991,"Mexico, Nuevo Leon, Mpio. de Dr. Arroyo. A 19 km NE de Dr. Arroyo por carretera a Aramberri.",23.8,-100.0833,"Cuerpo simple o cespitoso, tallo aplanado de hasta 8 cm de diám. Con látex. Con frutos maduros.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0053/ASU0053699.jpg,0,0
Mammillaria mazatlanensis,2013,"Mexico, Sonora, Navojoa, Mesa Masiaca, 7.1 km (by air) W of Masiaca, 35.4 km (by air) SSE of Navojoa.",26.77389,-109.30611,,https://serv.biokic.asu.edu/imglib/madrean/maba/flora/MABA/201303/Mammillaria_mazatlanensis.jpg,0,0
Polaskia chende,1983,"Mexico, Puebla, Cerro El Tambor, al NE de Caltepec",18.25,-97.5,"Arbusto craso de 3 a 4 m, flores blancas, frutos inmaduros,",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00031/DES00031854.jpg,0,0
Ancistrocactus tobuschii,1985,"United States, Texas, Uvalde",29.357336,-99.762205,,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0341000/BRIT341652_med.jpg,0,0
Opuntia calmalliana,1994,"Mexico, Baja California, About 6.5 mi N of El Arco along road to Calmalli.",28.02999,-113.403515,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0054/ASU0054474.jpg,1,0
Ferocactus gracilis subsp. gatesii,2015,"Mexico, Baja California, Approximately 2 mi S of the town at Bahia de Los Angeles on the dirt road leading to San Francisquito. Locality is along shor",28.91667,-113.55,"Tepals with purplish-red midvein area, filaments red, anther yellow, stigma yellow upper and red lower.",http://storage.idigbio.org/portals/seinet/sernec/ASU_Plants/201511/ASU0053772_1447177301.jpg,1,0
Opuntia feroacantha,2016,"Mexico, Nayarit, Mpio. de Huanacaxtle. Punta de Mita, ca. 28 km al O del entrorique con la carretera Puerto Vallarta-Tepic.",20.77167,-105.5233,Simple de 2.5 m. Cladodios ovoides de 30 cm.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0058/ASU0058550.jpg,0,0
Escontria chiotilla,1984,"Mexico, Oaxaca, 50 miles NNW of junction with Hwy 190; 10 miles N of Dominacillo; 1 mile from Tomellin Road.",17.758798,-96.961286,Flowers pale yellow.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0067/ASU0067027.jpg,0,0
Echinocereus enneacanthus,1973,"United States, Texas, Brewster, BlackGap Wildlife Management Area",29.563,-102.89,,https://serv.biokic.asu.edu/imglib/h_seinet/greatplains/HPC/201502/8781a_1424125897.jpg,1,0
Echinocereus scheeri subsp. scheeri,1988,"Mexico, Sonora, Rio Mayo Region. Above the cajon of the Rio Cuchujaqui, west of Rancho San Pedro of Bill Alcorn and just above Rancho Palo Injerto of ",27.04333,-108.7283,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU_Plants/201410/ASU0053235_1412188023.jpg,1,0
Echinocereus viridiflorus subsp. viridiflorus,1997,"USA, NEW MEXICO, Colfax, Park Plateau, along the Vermejo River at its confluence with Salyers Canyon, 39km WSW of Ratón",36.772988,-104.850964,"n=11 during meiosis of microgametogenesis, May 1999, from an individual transplanted to Chino Valley, Arizona; flowers (2) photographed and collected 25 May 2010 from individual transplanted to Chino Valley, Arizona.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU_Plants/ASU0079/ASU0079944.jpg,1,0
Cylindropuntia multigeniculata,2015,"United States, Nevada, Clark, McCullough Range, 720m WSW of the summit of Black Mountain, south of Henderson, 27km SSE of central Las Vegas",35.930109,-115.051967,"Population of numerous individuals, which continues to the top of Black Mountain (2150m [5900']) and onto the north-facing slope; see also Baker 14306, 17880; flowers photographed and collected 22 April 2015 from stems potted in garden, Chino Valley, Arizona; additional flowers collected 24 April and 7 May 2015; potted stems died by May 2016.",,0,0
Echinocereus santaritensis subsp. santaritensis,2010,"Mexico, Sonora, Ímuris, Arroyo las Palomas, Rancho El Aribabi, 29.4 km (by air) ENE of Ímuris, Sierra Azul.",30.81944,-110.54778,,https://serv.biokic.asu.edu/imglib/madrean/maba/flora/MABA/201206/Echinocereus_santaritensi.jpg,1,0
Copiapoa cinerea,1996,"Chile, Region II, 4 km E of Taltal, and 1 km NE of the hwy.",-25.431028,-70.450667,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00041/DES00041358.jpg,0,0
Mammillaria brandegeei,1981,"Mexico, Baja California, Ca. 0.5 mi S of Rancho El Socorro, back away from along beach.",30.309408,-115.816667,Flowers collected on 12 Jun 1973. Perianth off-white; stigmas light-green.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0061/ASU0061653.jpg,0,0
Opuntia pubescens,2012,"Mexico, Sonora, Mazatán, 1.4 km (by air) ESE of Mazatán.",29.00056,-110.12056,,https://serv.biokic.asu.edu/imglib/madrean/maba/flora/MABA/201302/Opuntia_pumila-TRVan_Deve.jpg,1,0
Tephrocactus molinensis,2006,"Argentina, Salta, Provincia Salta.  Valle Calchaquies. En ruta 40 por entrada a Molinos.",-25.431769,-66.286214,"Plantas bajas, cespitosas, 6-12 cm de altura, 30-5-cm diametro; tallos redondos, 1.2-2 cm de diametro, tuberculados; areolas circulares, 4-5 mm de diametro, con lana color crema; sin espinas.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00063/DES00063854.jpg,0,0
Opuntia hitchcockii,2010,"Mexico, Sonora, Agiabampo, Ctra. hacia Agiabampo (acceso a traves de la ctra. federal 15 Los Mochis-Navojoa)",26.428611,-109.070583,,http://db.herbarium.arizona.edu/images/ARIZ/ARIZ/00426/ARIZ426214_lg.jpg,0,0
Cleistocactus sepium var. sepium,1935,"Ecuador, Cotopaxi, Just S of Saleado along the Rio Panzaleo.",-1.06667,-78.6,"Candelabra to 2 m tall, stem dark green, spines gray, flowers erect or ascending, petals dark pink, anthers yellow, stigmas light green, fruit bronze-green.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0052/ASU0052583.jpg,0,0
Lepismium lumbricoides,1964,"Brazil, Santa Catarina, Rio Chapeco, Abelardo Luz.",-26.6,-52.35,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00004/DES00004304.jpg,0,0
Mammillaria polythele,1996,"Mexico, Hidalgo, In cultivation at Desert Botanical Garden, Phoenix , AZ, USA (33deg 27'33'' N, 111deg 56'35'' W, 1100 feet elev.); acession number 19",20.670101,-99.336396,"Flowers diam 15-21 mm, length 19-24 mm; stigma # 6-7, pale yellow or cream; outer perianth burgundy or reddish brown with cream edges, inner perianth cream with burgundy or pink midstripe",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES/DES00042/DES00042309.jpg,1,0
Opuntia setispina,2019,"Mexico, Sonora, Santa Cruz, Los Alisos on Rancho la Piedra, 8.8 km (by air) E of San Lázaro, Sierra Chivato [Río Santa Cruz drainage].",31.14556,-110.55333,,https://serv.biokic.asu.edu/imglib/madrean/greatergood/flora/GreaterGood/mde-32/Opuntia_setispina-ALReinaG-Ran_1553452648.jpg,0,0
Mammillaria orcuttii,1985,"Mexico, San Luis Potosi, Mpio. de Villa de Zaragoza. Puerto Las Galgas.",21.983333,-100.583333,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0053/ASU0053669.jpg,0,0
Selenicereus donkelaarii,2001,"Mexico, Yucatan, Mpio. de Hunucma. Rancho San Antonio y alrededores, aprox. 8 km al norte de Dzemul, aprox. 1 km al surde Ruinas de X-cambo.",21.27222,-89.32083,"Planta epifita, ramas 1 m de largo, cilindricas; 8- 12 mm de diámetro; costillas 8; areolas alargadas con espinas cortas y delgadas, adpresas. Común.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0053/ASU0053964.jpg,0,0
Stenocereus thurberi var. thurberi,1994,"Mexico, Baja California Sur, Llano de Magdalena; 3.1 miles north of the road to San Carlos on the road to Lopez Mateos.",24.98333,-111.9167,Flowers white.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0054/ASU0054021.jpg,1,0
Eriosyce marksiana var. lissocarpa,1982,"Chile, Sierra Bell Vista.",-35,-70.833333,form truncatipetalus,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00040/DES00040381.jpg,1,0
Echinopsis lageniformis,2011,"United States, Florida, Sarasota Co., Lake Sarasota; Chaucer Lane, 2.2 km E of I-75.",27.2969,-82.4256,,http://storage.idigbio.org/portals/seinet/sernec/USF/00258/258750_1526961909_web.jpg,0,0
Opuntia atrispina,1996,"USA, Texas, Brewster County, Big Bend National Park, Rooney's Place",29.094472,-103.06875,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00069/DES00069804.jpg,0,0
Echinocereus stolonifer subsp. tayopensis,2014,"Mexico, Sonora, Bacanora, Rancho las Tierras de Jimenez, 14.9 km (by air) SW of Bacanora, Sierra de Murrieta.",28.8925,-109.52583,,https://serv.biokic.asu.edu/imglib/madrean/greatergood/flora/GreaterGood/MDE-2/Echinocereus_stoloniferus_ssp__1504741423.jpg,0,0
Micropuntia pulchella,2017,"USA, California, Mono, Fish Lake Valley; just N of Inyo Co. line, ca 1 k E of Hwy 168",37.231388,-118.206746,Rare.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0102/ASU0102359.jpg,1,0
Epiphyllum anguliger,1988,"Mexico, Colima, Comala, Rancho El Jabalf, ca. 22 km NNW of Cd. of Colima, ca. the Jalisco state line, S and E sides of Lago Calabozo, Mpio. de Comala,",19.4375,-103.675,,http://db.herbarium.arizona.edu/images/ARIZ/288/ariz288399.jpg,0,0
Opuntia puberula,1994,"Mexico, Sonora, Rio Mayo Region. 18 km west of Moron Carit. Old dune near Boca del Rio (i.e., mouth of the Rio Mayo). West of Huatabampito.",27.969242,-111.044751,Fruit red/purple.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0058/ASU0058423.jpg,0,0
Pachycereus pringlei,2010,"Mexico, Sonora, Caborca, Cerro la Proveedora, 8.6 km (by air) WSW Caborca",30.66417,-112.24917,,https://serv.biokic.asu.edu/imglib/madrean/maba/flora/MABA/201104/Pachycereus_pringlei-TRVa.jpg,0,0
Melocactus bellavistensis,2017,"Peru, Cajamraca: Jaen. El Almendro. Bosque secundario",5.712778,-78.8025,"Cactu con 12 costillas, cefalio rojizo ca 30 cm de largo, flores rosadas, frutos rosados, semillas negras.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0108/ASU0108227.jpg,0,0
Opuntia intricata,1912,"USA, California, San Bernardino, Colton. ; PIG 9698",34.07,-117.32,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0019/ASU0019098.jpg,0,0
Corryocactus brevistylus,1994,"Peru, Arequipa, 5 km ENE of Arequipa along Hwy 30, at km 55.",-16.41367,-71.452,"Stems many, stout, 1-1.25 m tall, hypanthium green, petals bright yellow, ovary, style and stigma cream-white, filaments and anthers yellow, fruits round, spiny, and juicy, gathered by locals who scrape spines off and sell or eat the fruits, mature fruits round, to 13 cm in diameter, very juicy, sweet and delicious, seeds numerous, tiny, black, embedded in clearish pulp. Fruits with stem and photo of fruits, flowers off different plant in some population, other photos of different plant in same population.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0052/ASU0052600.jpg,0,0
Eriosyce islayensis,1994,"Chile, Quebrada Pocoto, 11 km into quebrada and ENE of Imperial",-12.984667,-76.292194,Flowers yellow,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00038/DES00038232.jpg,1,0
Echinocereus scheeri subsp. gentryi,2002,"Mexico, Sonora, Oak canyons of the mountains of Eastern Sonora.",29.333333,-110.666667,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00001/DES00001893.jpg,1,0
Cochemiea poselgeri,1994,"Mexico, Baja California Sur, Near Raymundo along the road to El Tular.",26.45,-112.5667,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0052/ASU0052590.jpg,0,0
Opuntia x columbiana,1979,"USA, Oregon, Umatilla County, McNary Lock and Dam area on the S side of the Columbia River. About 400 m S of the river and a little downstream from th",45.919167,-119.305833,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00035/DES00035894.jpg,1,0
Corryocactus brachypetalus,1994,"Peru, KM 705; small unnamed quebrada, east of road.",-16.23167,-73.57972,Rare to a.5 m tall.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00038/DES00038267.jpg,0,0
Harrisia tetracantha,2011,"United States, Florida, Sarasota Co., Lake Sarasota, Chaucer Lane, 2.2 km E of I-75.",27.2969,-82.4256,,http://storage.idigbio.org/portals/seinet/sernec/USF/00260/260424_1523543205_web.jpg,0,0
Opuntia macrorhiza var. pottsii,2015,"United States, Arizona, Cochise, Near cattle tank and windmill ca. 500 m N of E Grand View Rd and 850 m south of Leslie Canyon National Wildlife Refug",31.546083,-109.480865,"Caespitose low-growing with tepals budding yellow, turning solid iridescent orange at anthesis, and aging light reddish; frequent locally.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/misc/201506/OPUPOT_gen3_smallcob_143225653_1433248643_web.jpg,1,0
Echinocereus scheeri var. obscuriensis,1988,"Mexico, Chihuahua, Rio Mayo Region. La Bateria, Rio Haciendito (Rio Durazno) crossing.",28.297746,-108.358,"Magenta fls. The dried flower, as of May 1994. remains brightly colored, tepals rose magenta inside, paler and less colorful outside.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0053/ASU0053239.jpg,1,0
Disocactus amazonicus,1997,"Peru, Loreto, Prov. Maynas. Estación Biologica Callicebus-Mishana-Rio Nanay; 2 horas río arriba de Iquitos.",-3.88333,-73.58333,"Epífito, hojas carnosas, flores lilas, frutos verdes.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0052/ASU0052770.jpg,0,0
Cochemiea maritima,1970,"Mexico, Baja California, Hill, 2 mi NE of Punta Negra, B.C.",28.86667,-114.4167,,http://db.herbarium.arizona.edu/images/ARIZ/185/ariz185097.jpg,1,0
Gymnocalycium horstii,1989,"United States, Pennsylvania, Allegheny, Pittsburgh, Phipps Conservatory, Desert Room",40.439124,-79.947622,,/imglib/seinet/mam/CM/CM348/CM348721_1583434836_web.jpg,0,0
Eriosyce chilensis var. albidiflora,1987,"Chile, In coastal rocks next to little church",-32.15,-71.516667,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00037/DES00037043.jpg,0,0
Rhipsalis occidentalis,1987,"Ecuador, Morona Santiago, El bosque primario cerca el Rio Bombioza; Nuevo Tarqui y los alrededores, 10 km al oeste del Gualaquiza, cerca al Centro Shu",-3.45,-78.5667,"Hierba, epifita colgante; fruto verde-blanco, abayado.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0059/ASU0059951.jpg,0,0
Copiapoa fiedleriana,1996,"Chile, Atacama, Town: Huasco. Huasco Bajo, 11 km north from Huasco Bajo. EFA 6304. Plant separate.",-28.38333,-71.18333,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00046/DES00046799.jpg,0,0
Gymnocactus beguinii,1978,"Mexico, Nuevo Leon, 6.4 mi W of La Ascension at jct of La Ascension road and Dr. Arroyo road on road to Sandia.",24.32702,-99.91464,Single very local population.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0054/ASU0054035.jpg,0,0
Cylindropuntia californica subsp. delgadilloana,1995,"Mexico, Baja California, Vicinity of Agua Caliente, on east plain of Sierra San Pedro Mártir.",32.107422,-116.39887,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0054/ASU0054355.jpg,1,0
Copiapoa humilis subsp. variispinata,1996,"Chile, Antofagasta, 20.5 km S of El Cobre along the coastal road to Paposo. 38.5 km N of Paposo.",-24.515,-71.15833,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00041/DES00041364.jpg,0,0
Mammillaria gaumeri,2001,"Mexico, Yucatan, Mpio. de Hunucma. Aprox. 4 km al noroeste de San Diego Guerra.",21.29269,-89.32853,"Plantas globosas, solitarias o fornnando colonias; tallos 8 cm en diametro; espinas 1 central rojiza, 6 mm largo; espinas radiales 6-7, aciculares, blancas; flores amarillas con margen de tépalos blanquecinos.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0053/ASU0053640.jpg,0,0
Opuntia quitensis,1935,"Ecuador, Rio Chanchan; at Estación de Ferrocarril Chanchan.",-2.25,-78.95,"Shrub to 1.5m tall, along railroad tracks; stems green; flowers orange-red.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0058/ASU0058682.jpg,0,0
Thelocactus tulensis,1991,"Mexico, Nuevo Leon, Mpio. de Aramberri. A 7 km al W de Aramberri por la carretera 19, rumbo a la carretera Dr. Arroyo-La Ascención.",24.08333,-99.88333,"Cuerpo simple, aplanado de 20 cm de diám. Con botones florales.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0054/ASU0054051.jpg,0,0
Echinofossulocactus dichroacanthus,1983,"Mexico, Hidalgo, 4.0 km N of Villagran on Mexico Highway 85 from Pachuca to Ixmiquilpan, Hgo.",20.45,-99.11667,,http://db.herbarium.arizona.edu/images/ARIZ/250/ariz250719.jpg,1,0
Mammillaria swinglei,1966,"Mexico, Sonora, Mpio. de Guaymas. North of Las Guásimas, south of Cochori.",27.918861,-110.548445,"Petaloids and outer sepals white pink mid-stripe, filament pink, anthus yellow, style pale green, stigma lobes green.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0059/ASU0059961.jpg,0,0
Leptocereus wrightii,2017,"United States, Florida, Miami-Dade County, Fairchild Tropical Botanic Garden, off of Old Cutler Rd. (originally from Cuba, Pinar del Río, Bahía Honda)",25.676477,-80.275338,"sterile shrub to 1 m tall, stems with 5-6 ribs",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00086/DES00086860.jpg,0,0
Ferocactus gracilis subsp. coloratus,2000,"Mexico, Baja California, South of Punta Prieta. Ca. 2.5 mi W of Rte 1, 15 mi S of turnoff to Bahia Angeles.",28.889763,-114.135521,"Plant height ca. 3 ft, diameter 12-16 in.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0053/ASU0053564.jpg,1,0
Turbinicarpus schmiedickeanus subsp. schwarzii,1999,"Mexico, San Luis Potosi, 11 miles south of Matehuala and 1/2 mile north of the village of La Bonita. Near the top of a hill east of hy. 57.",23.488405,-100.643337,Rare.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00078/DES00078699.jpg,0,0
Ancistrocactus brevihamatus,2007,"MEXICO, Coahuila, 34km NE of Buenavista; Primero de Mayo 1:50,000 Central topographic quad",27.203,-101.233,"Flower photographed and pressed 23 February 2009 from individual transplanted into greenhouse, Chino Valley, Arizona; another flower photographed and pressed 24 February 2010, the flower had been open for several days; dead stems collected 11 July 2013.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/201312/ASU0076466.jpg,0,0
Cylindropuntia acanthocarpa subsp. thornberi,2016,"USA, Arizona, Yavapai, 10 miles E of I-17 on Bloody Basin Rd.",34.2063,-111.9383,Tepals mostly red with some yellow coloration.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00078/DES00078123.jpg,1,0
Mammillaria gasseriana,1993,"Mexico, Coahuila, Amparo, Northeast of Amparo.",25.451667,-102.59,Partially tuberous root.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00086/DES00086918.jpg,1,0
